rank,player,team,salary
1,Juan Soto,New York Mets,"51,875,000"
2,Zack Wheeler,Philadelphia Phillies,"42,000,000"
3,Aaron Judge,New York Yankees,"40,000,000"
3,Jacob deGrom,Texas Rangers,"40,000,000"
5,Anthony Rendon,Los Angeles Angels,"38,000,000"
6,Carlos Correa,Minnesota Twins,"36,000,000"
6,Gerrit Cole,New York Yankees,"36,000,000"
8,Mike Trout,Los Angeles Angels,"35,450,000"
9,Corey Seager,Texas Rangers,"32,000,000"
9,Giancarlo Stanton,New York Yankees,"32,000,000"
11,Nathan Eovaldi,Texas Rangers,"30,000,000"
11,Tyler Glasnow,Los Angeles Dodgers,"30,000,000"
11,Pete Alonso,New York Mets,"30,000,000"
11,Jose Altuve,Houston Astros,"30,000,000"
11,Corbin Burnes,Arizona Diamondbacks,"30,000,000"
16,Vladimir Guerrero,Toronto Blue Jays,"28,500,000"
17,Blake Snell,Los Angeles Dodgers,"28,436,867"
18,Shohei Ohtani,Los Angeles Dodgers,"28,216,944"
19,Trea Turner,Philadelphia Phillies,"27,272,727"
20,Carlos Rodon,New York Yankees,"27,000,000"
20,Dansby Swanson,Chicago Cubs,"27,000,000"
20,Francisco Lindor,New York Mets,"27,000,000"
23,Marcus Semien,Texas Rangers,"26,000,000"
23,Trevor Rogers,Baltimore Orioles,"26,000,000"
23,Bryce Harper,Philadelphia Phillies,"26,000,000"
23,Matt Chapman,San Francisco Giants,"26,000,000"
23,Kris Bryant,Colorado Rockies,"26,000,000"
28,Tanner Scott,Los Angeles Dodgers,"25,750,000"
29,Teoscar Hernandez,Los Angeles Dodgers,"25,500,000"
30,Luis Severino,Athletics,"25,000,000"
30,Robbie Ray,San Francisco Giants,"25,000,000"
30,Jack Flaherty,Detroit Tigers,"25,000,000"
30,Rafael Devers,Boston Red Sox,"25,000,000"
30,Sonny Gray,St. Louis Cardinals,"25,000,000"
30,Cody Bellinger,New York Yankees,"25,000,000"
30,Xander Bogaerts,San Diego Padres,"25,000,000"
30,Javier Baez,Detroit Tigers,"25,000,000"
38,Aaron Nola,Philadelphia Phillies,"24,571,428"
39,J.T. Realmuto,Philadelphia Phillies,"23,875,000"
40,Kevin Gausman,Toronto Blue Jays,"23,000,000"
41,Luis Castillo,Seattle Mariners,"22,750,000"
42,George Springer,Toronto Blue Jays,"22,500,000"
42,Trevor Story,Boston Red Sox,"22,500,000"
42,Jordan Montgomery,Arizona Diamondbacks,"22,500,000"
45,Austin Riley,Atlanta Braves,"22,000,000"
45,Chris Sale,Atlanta Braves,"22,000,000"
45,Matt Olson,Atlanta Braves,"22,000,000"
45,Christian Yelich,Milwaukee Brewers,"22,000,000"
45,Max Fried,New York Yankees,"22,000,000"
45,Tommy Edman,Los Angeles Dodgers,"22,000,000"
45,Mookie Betts,Los Angeles Dodgers,"22,000,000"
52,Pablo Lopez,Minnesota Twins,"21,500,000"
53,Yusei Kikuchi,Los Angeles Angels,"21,225,000"
54,Nick Martinez,Cincinnati Reds,"21,050,000"
55,Chris Bassitt,Toronto Blue Jays,"21,000,000"
55,Willy Adames,San Francisco Giants,"21,000,000"
55,Nolan Arenado,St. Louis Cardinals,"21,000,000"
58,Brandon Nimmo,New York Mets,"20,250,000"
59,Kyle Schwarber,Philadelphia Phillies,"20,000,000"
59,Eduardo Rodriguez,Arizona Diamondbacks,"20,000,000"
59,Christian Walker,Houston Astros,"20,000,000"
59,Fernando Tatis,San Diego Padres,"20,000,000"
59,Salvador Perez,Kansas City Royals,"20,000,000"
59,Joe Musgrove,San Diego Padres,"20,000,000"
59,Yu Darvish,San Diego Padres,"20,000,000"
59,Ian Happ,Chicago Cubs,"20,000,000"
59,Nick Castellanos,Philadelphia Phillies,"20,000,000"
59,Alex Bregman,Boston Red Sox,"20,000,000"
69,Starling Marte,New York Mets,"19,500,000"
70,Jose Ramirez,Cleveland Guardians,"19,000,000"
70,Lucas Giolito,Boston Red Sox,"19,000,000"
70,Josh Hader,Houston Astros,"19,000,000"
73,Joc Pederson,Texas Rangers,"18,500,000"
74,Walker Buehler,Boston Red Sox,"18,050,000"
75,Julio Rodriguez,Seattle Mariners,"18,000,000"
75,Michael Wacha,Kansas City Royals,"18,000,000"
75,Taijuan Walker,Philadelphia Phillies,"18,000,000"
75,Framber Valdez,Houston Astros,"18,000,000"
75,Seiya Suzuki,Chicago Cubs,"18,000,000"
75,Jameson Taillon,Chicago Cubs,"18,000,000"
75,Marcus Stroman,New York Yankees,"18,000,000"
75,Masataka Yoshida,Boston Red Sox,"18,000,000"
75,Zach Eflin,Baltimore Orioles,"18,000,000"
75,Rhys Hoskins,Milwaukee Brewers,"18,000,000"
75,Jose Berrios,Toronto Blue Jays,"18,000,000"
75,Willson Contreras,St. Louis Cardinals,"18,000,000"
87,Sean Manaea,New York Mets,"17,250,000"
88,Lance McCullers,Houston Astros,"17,000,000"
88,Frankie Montas,New York Mets,"17,000,000"
88,Sandy Alcantara,Miami Marlins,"17,000,000"
88,Ronald Acuna,Atlanta Braves,"17,000,000"
88,Michael Conforto,Los Angeles Dodgers,"17,000,000"
93,Kyle Tucker,Chicago Cubs,"16,500,000"
93,Tyler Mahle,Texas Rangers,"16,500,000"
93,Tyler O'Neill,Baltimore Orioles,"16,500,000"
93,Andrew Benintendi,Chicago White Sox,"16,500,000"
93,Bo Bichette,Toronto Blue Jays,"16,500,000"
98,Jung Hoo Lee,San Francisco Giants,"16,000,000"
98,Raisel Iglesias,Atlanta Braves,"16,000,000"
98,Marcell Ozuna,Atlanta Braves,"16,000,000"
98,Miles Mikolas,St. Louis Cardinals,"16,000,000"
98,Kyle Freeland,Colorado Rockies,"16,000,000"